muttype	features	mean	upper	lower
A_to_G	H3K9me3	0.09563489	0.22445760667324066	-0.03458755137398839
A_to_G	intercept	7.74054	7.856989884376526	7.621780264377594
C_to_G.CpG	DHS	0.3488923	0.9418199300765989	-0.06345478314906358
C_to_G.CpG	CpGisland	1.1199049	2.1298451840877535	0.04607738247141242
C_to_G.CpG	Lamin	0.02210004	0.5360470086336135	-0.5015618085861206
C_to_G.CpG	GC	0.258445	0.966326768696308	-0.1725561685860157
C_to_G.CpG	RT	0.017736541	0.4743839241564272	-0.42758340761065483
C_to_G.CpG	RR	0.05084244	0.40457035675644865	-0.26227249428629873
C_to_G.CpG	Exon	-0.06136565	0.25235274657607076	-0.46277851834893224
C_to_G.CpG	H3K27ac	-0.016304933	0.3337968900799749	-0.38409086465835574
C_to_G.CpG	H3K27me3	0.02772257	0.43841882050037373	-0.3706913135945797
C_to_G.CpG	H3K36me3	0.13888541	0.6189892187714575	-0.2284998558461666
C_to_G.CpG	H3K4me1	-0.033943336	0.3515446484088896	-0.4457988381385803
C_to_G.CpG	H3K4me3	0.058631495	0.5207542493939398	-0.3919079855084419
C_to_G.CpG	H3K9ac	0.16909583	0.6530258208513257	-0.1938314910978079
C_to_G.CpG	H3K9me3	-0.09070859	0.3756569743156432	-0.6196600362658501
C_to_G.CpG	intercept	4.9668097	5.574696433544159	4.199757087230682
C_to_A.CpG	DHS	0.16775885	0.6048218190670013	-0.19606284573674201
C_to_A.CpG	CpGisland	1.8680453	2.604757684469223	1.090889772772789
C_to_A.CpG	Lamin	-0.14646287	0.3224454686045645	-0.6587079018354416
C_to_A.CpG	GC	0.2945279	1.0032172799110413	-0.1361605916172266
C_to_A.CpG	RT	-0.02378864	0.40238645449280735	-0.48467626944184306
C_to_A.CpG	RR	0.01065856	0.3321691893041134	-0.2979440651834011
C_to_A.CpG	Exon	-0.0014977349	0.2782879427075386	-0.3201828345656395
C_to_A.CpG	H3K27ac	0.025003176	0.36824394315481185	-0.2989024415612221
C_to_A.CpG	H3K27me3	0.04317046	0.42201657220721245	-0.32309677451848984
C_to_A.CpG	H3K36me3	0.19912139	0.6680355653166771	-0.15079092904925345
C_to_A.CpG	H3K4me1	0.14518039	0.597300262749195	-0.19616004936397075
C_to_A.CpG	H3K4me3	0.01765458	0.44915339946746813	-0.4026160717010498
C_to_A.CpG	H3K9ac	0.12085949	0.5396755754947662	-0.22360940910875798
C_to_A.CpG	H3K9me3	-0.0052243965	0.43696139976382253	-0.4617234542965889
C_to_A.CpG	intercept	5.1130877	5.665729713439942	4.41417977809906
C_to_T.CpG	DHS	0.018436296	0.16714231222867965	-0.1314173135906458
C_to_T.CpG	CpGisland	-0.37808004	-0.033124085981398994	-0.7446486696600914
C_to_T.CpG	Lamin	0.03149272	0.1868350889533758	-0.12746515609323977
C_to_T.CpG	GC	0.050894972	0.22555117458105087	-0.11629595030099153
C_to_T.CpG	RT	0.066289425	0.3179832831025123	-0.17245568297803401
C_to_T.CpG	RR	0.07750635	0.2211272150278091	-0.06236573383212089
C_to_T.CpG	Exon	0.0794198	0.19724942706525325	-0.0533362396992743
C_to_T.CpG	H3K27ac	-0.01293421	0.17332543730735778	-0.20430947728455065
